Epochs,Test Accuracy,Train Accuracy,ProbAct Sigma Value
0,1.69,1.272,0.007998333312571049
1,3.33,2.356,0.021529480814933773
2,5.53,4.28,0.006505271419882774
3,7.31,6.028,0.020115494728088382
4,7.96,8.536,0.05171150714159012
5,12.35,11.564,0.004423044621944428
6,16.51,15.47,0.014276054687798025
7,17.94,18.688,-0.004279637709259987
8,18.95,21.522,0.0010221272241324186
9,23.98,25.206,0.01975042931735516
10,26.95,28.482,0.004398095887154341
11,29.41,31.616,0.0167672298848629
12,27.11,34.99,-0.00723910564556718
13,32.62,37.374,0.006537380628287792
14,29.49,40.256,0.007691557053476572
15,35.01,43.248000000000005,-0.004501582123339176
16,39.71,46.316,0.0009623687365092336
17,40.47,49.632,0.014459642581641676
18,40.31,52.352,-0.0041047558188438416
19,42.74,55.67,-0.015181296505033968
20,41.99,58.391999999999996,0.01887880079448223
21,42.58,61.333999999999996,-0.006119177211076021
22,42.12,64.038,-0.002068150322884321
23,41.49,66.188,0.01842335984110832
24,43.9,69.30199999999999,0.00027089740615338087
25,45.09,71.124,0.001348441233858466
26,44.53,73.83,-0.00685421796515584
27,44.19,75.832,-0.01406576670706272
28,46.45,77.176,0.004359164275228977
29,43.74,78.834,-0.01045579370111227
30,44.78,80.766,0.002631183713674545
31,45.47,82.39,-0.0107739781960845
32,45.25,83.544,-0.0014611048391088846
33,46.08,84.38799999999999,-0.0013765408657491207
34,45.59,85.568,-0.01564580760896206
35,45.16,86.53,0.0039674839936196795
36,45.64,87.618,-0.006084407214075327
37,46.35,88.206,0.011799277737736702
38,45.34,89.322,0.002547668758779764
39,46.18,89.46,0.0188393983989954
40,46.26,90.19200000000001,0.003391233505681157
41,46.02,90.21,-0.003419354325160384
42,45.72,91.068,-0.019470993429422382
43,47.29,91.66799999999999,-0.006355168297886848
44,46.97,92.412,-0.02132339030504227
45,46.14,92.25200000000001,0.004089253954589367
46,47.35,92.198,-0.02721296437084675
47,48.11,92.15799999999999,0.0018306965939700606
48,47.57,93.33200000000001,-0.0008034187485463918
49,46.74,93.068,0.0043432149104774
50,50.25,97.27799999999999,-0.00047888708650134493
51,50.64,98.902,0.002127237152308225
52,50.56,99.186,-0.000831834739074111
53,50.42,99.49,0.0004242319555487484
54,50.58,99.53200000000001,0.0001403322530677542
55,50.63,99.544,-0.0005948690231889486
56,50.43,99.596,-0.0004141490499023348
57,50.82,99.508,0.0005761397769674659
58,50.44,99.584,-0.002911285264417529
59,50.1,99.63600000000001,0.00010366322385380045
60,50.33,99.67,0.0015461958246305585
61,50.41,99.66799999999999,-0.0011964174918830395
62,50.53,99.68799999999999,0.0025898159947246317
63,50.34,99.726,-0.0005585860926657915
64,50.32,99.54799999999999,0.0008984291343949734
