Epochs,Test Accuracy,Train Accuracy
0,0.97,1.2
1,1.07,1.376
2,2.14,1.6780000000000002
3,2.34,2.478
4,2.98,2.51
5,2.95,2.574
6,3.9,2.86
7,3.71,3.028
8,3.96,3.03
9,4.11,3.03
10,5.31,3.41
11,5.25,3.96
12,7.13,4.822
13,8.21,5.232
14,7.05,6.11
15,8.75,6.59
16,11.22,7.182
17,12.71,8.04
18,12.63,8.804
19,14.94,9.756
20,15.27,11.168
21,17.56,11.908
22,19.51,12.804
23,19.34,13.808
24,21.01,15.048
25,21.41,15.694
26,21.94,16.54
27,22.2,17.152
28,21.91,17.852
29,23.73,18.234
30,25.64,19.176
31,26.09,19.958
32,26.26,20.412
33,26.23,21.304000000000002
34,28.56,21.826
35,26.97,22.508000000000003
36,27.44,23.284000000000002
37,28.88,23.601999999999997
38,25.71,24.581999999999997
39,28.63,25.1
40,28.71,25.614
41,29.69,26.348000000000003
42,29.91,27.061999999999998
43,28.4,27.555999999999997
44,30.39,28.078000000000003
45,29.5,28.754
46,32.91,29.72
47,31.19,30.184
48,29.9,30.872
49,31.19,31.44
50,30.74,31.875999999999998
51,30.84,31.906
52,32.37,32.916
53,33.86,33.41
54,32.48,34.29
55,32.68,34.506
56,34.86,35.525999999999996
57,33.62,35.67
58,33.96,35.624
59,33.18,36.792
60,33.38,37.141999999999996
61,34.26,37.482
62,32.36,38.03
63,34.0,38.028
64,35.73,38.68
65,36.17,39.804
66,35.02,39.548
67,36.22,40.19
68,35.94,40.838
69,36.82,40.641999999999996
70,36.32,40.86
71,36.35,42.20399999999999
72,35.33,42.722
73,35.13,42.718
74,35.37,42.903999999999996
75,34.62,43.658
76,37.78,43.078
77,37.47,44.308
78,36.67,44.648
79,36.95,45.31
80,37.75,45.19
81,37.07,45.913999999999994
82,37.52,45.722
83,37.2,46.58
84,38.25,47.08
85,36.0,47.56
86,37.02,47.82
87,37.97,47.698
88,38.65,46.92
89,37.9,47.736000000000004
90,38.8,49.078
91,38.75,48.096000000000004
92,38.66,49.903999999999996
93,38.91,50.13399999999999
94,38.45,49.45399999999999
95,39.71,50.552
96,39.55,50.961999999999996
97,39.53,51.29600000000001
98,39.2,51.123999999999995
99,39.54,51.09
100,41.55,53.632
101,41.92,55.798
102,42.62,56.843999999999994
103,42.43,57.843999999999994
104,42.1,58.461999999999996
105,43.02,58.906000000000006
106,42.54,59.13
107,42.45,59.663999999999994
108,42.99,59.964
109,43.01,60.672
110,42.62,61.008
111,43.18,61.181999999999995
112,42.92,62.148
113,42.9,62.278
114,43.4,62.262
115,43.36,63.196000000000005
116,43.79,63.61600000000001
117,43.74,63.888000000000005
118,43.86,64.296
119,43.48,64.35
120,43.24,64.706
121,43.3,65.02
122,43.66,65.266
123,43.8,65.152
124,43.78,65.634
125,43.34,65.99600000000001
126,43.94,66.27600000000001
127,43.3,66.41199999999999
128,43.99,66.428
129,43.71,66.97
130,43.53,67.158
131,44.36,67.406
132,43.95,67.676
133,43.98,67.736
134,43.86,68.108
135,43.69,68.34
136,44.5,68.646
137,44.26,68.492
138,44.01,68.586
139,44.35,68.926
140,44.38,69.172
141,44.31,68.97800000000001
142,44.5,69.274
143,44.57,69.18
144,44.72,70.128
145,44.34,69.822
146,44.67,70.132
147,44.4,70.016
148,44.54,70.598
149,44.76,70.77199999999999
150,44.39,70.7
151,44.71,70.94800000000001
152,45.07,71.11
153,44.93,70.99600000000001
154,44.62,71.116
155,44.88,71.46
156,45.05,71.6
157,44.92,71.80199999999999
158,44.95,72.128
159,45.21,71.734
160,44.84,72.07
161,45.01,72.012
162,45.04,72.566
163,45.07,72.444
164,44.82,72.678
165,45.46,72.876
166,45.27,72.554
167,45.5,72.904
168,45.33,73.122
169,45.36,72.77600000000001
170,45.38,73.124
171,45.12,73.072
172,45.07,73.506
173,45.21,74.056
174,45.88,73.72399999999999
175,45.09,73.988
176,45.47,74.204
177,45.36,74.244
178,45.25,74.472
179,45.19,74.68
180,45.34,74.63600000000001
181,45.63,74.91199999999999
182,45.0,75.048
183,45.49,75.38
184,45.97,75.528
185,45.59,75.19
186,45.54,75.844
187,45.8,75.632
188,45.94,75.63
189,45.74,76.046
190,45.77,75.954
191,45.78,75.774
192,46.34,76.17399999999999
193,45.46,76.208
194,45.8,76.25399999999999
195,45.97,76.25
196,45.95,76.53
197,45.74,76.274
198,45.96,76.872
199,45.75,76.86399999999999
200,45.94,77.08800000000001
201,45.69,77.408
202,46.23,77.428
203,45.62,77.512
204,46.18,77.67399999999999
205,46.17,77.774
206,45.92,77.458
207,46.24,77.876
208,46.05,77.81
209,46.22,78.24
210,46.32,77.876
211,46.39,77.942
212,46.06,77.84
213,46.47,77.818
