Epochs,Train Accuracy,Test Accuracy
0,1.264,1.95
1,1.626,2.1
2,1.678,2.39
3,2.006,2.68
4,2.186,2.93
5,2.206,3
6,2.256,3.35
7,2.4,2.9
8,2.386,3.28
9,2.51,3.25
10,2.626,3.52
11,2.788,4.21
12,3.288,4.47
13,3.762,5.4
14,4.096,6.51
15,4.512,6.66
16,4.746,6.84
17,5.05,8.61
18,5.15,8.65
19,5.846,9.74
20,6.458,10.44
21,6.74,9.95
22,7.22,9.79
23,7.6,12.17
24,8.266,12.78
25,8.726,13.15
26,9.142,13.56
27,9.714,13.82
28,10.222,14.69
29,10.604,17.15
30,11.316,16.63
31,12.172,17.51
32,12.692,17.69
33,13.138,18.98
34,13.68,18.42
35,14.13,19.39
36,14.566,20.06
37,15.134,19.53
38,15.924,20.21
39,16.454,21.42
40,16.642,21.59
41,17.47,22.73
42,17.882,22.32
43,18.544,23.42
44,18.456,24.02
45,19.62,24.21
46,20.004,24.53
47,20.59,24.49
48,21.078,26.07
49,21.608,26.09
50,22.276,26.28
51,22.818,27.73
52,23.54,27.48
53,23.86,28.12
54,24.544,28.24
55,24.896,27.34
56,25.482,29.41
57,25.86,28.51
58,26.762,29.56
59,27.622,29.61
60,27.622,29.22
61,27.952,29.48
62,28.458,30.99
63,29.098,30.83
64,29.492,31.23
65,30.21,31.71
66,30.912,31.39
67,31.4,30.65
68,31.366,31.64
69,31.95,30.86
70,32.804,32.54
71,33.202,31.57
72,32.634,30.77
73,33.518,31.77
74,33.78,33.03
75,34.108,33.77
76,34.688,33.77
77,34.998,32.97
78,35.546,32.98
79,36.428,33.1
80,36.066,33.72
81,36.352,34.09
82,36.946,33.52
83,36.97,34.54
84,37.746,33.8
85,38.148,35.6
86,38.31,34.21
87,38.568,34.32
88,38.6,34.37
89,39.102,34.76
90,39.942,35.46
91,39.596,35.71
92,40.36,34.35
93,40.636,34.82
94,40.592,35.97
95,40.34,35.21
96,42.118,36.57
97,42.83,36.17
98,42.338,36.09
99,42.466,35.7
100,45.326,39.7
101,47.3,39.08
102,48.454,39.54
103,49.156,39.88
104,49.85,40.16
105,50.476,40.75
106,50.644,40.42
107,51.332,40.68
108,51.75,41.33
109,52.078,40.98
110,52.18,41.24
111,52.856,40.64
112,52.958,41.03
113,53.274,40.96
114,53.304,41.5
115,53.658,41.62
116,53.89,41.1
117,54.114,41.49
118,54.76,41.78
119,54.854,41.77
120,55.128,41.52
121,54.634,41.84
122,54.886,41.22
123,55.46,41.47
124,55.43,41.83
125,55.95,42.2
126,56.302,41.71
127,56.202,42.04
128,56.102,41.97
129,56.616,41.93
130,56.68,42.33
131,57.312,42.06
132,57.172,42.55
133,57.556,43.28
134,57.984,42.88
135,57.768,42.3
136,58.238,42.34
137,58.312,41.33
138,58.156,42.82
139,58.704,42.71
140,58.902,42.82
141,59.252,42.54
142,59.398,43.04
143,59.54,42.99
144,59.776,42.39
145,59.822,42.52
146,60.282,43.32
147,60.532,42.7
148,60.704,43.01
149,60.898,43.04
150,60.96,42.58
151,60.898,43.4
152,60.894,43.48
153,61.302,42.88
154,61.656,42.96
155,62.05,43
156,62.32,43.19
157,62.676,44.23
158,62.686,43.22
159,62.71,43.29
160,63.068,43.54
161,63.014,44.01
162,63.242,44.04
163,63.426,43.57
164,63.762,44.12
165,63.992,43.51
166,63.868,43.7
167,63.888,44.27
168,64.326,44.2
169,64.37,44.72
170,64.894,43.51
171,64.856,43.9
172,64.974,44.08
173,65.404,43.87
174,65.206,44.02
175,65.828,44.58
176,65.578,44.68
177,65.54,44.36
178,65.768,43.89
179,65.896,44.17
180,66.168,44.35
181,66.23,44.78
182,66.446,44.41
183,66.962,44.33
184,66.662,44.36
185,66.706,44.81
186,67.564,45.09
187,67.534,44.66
188,67.474,44.56
189,67.732,44.54
190,67.894,45.19
191,68.034,44.75
192,68.112,44.77
193,68.274,45.36
194,68.45,44.87
195,68.734,44.67
196,68.76,45.16
197,69.024,45.21
198,69.09,44.79
199,69.34,45.21
200,69.842,45.21
