Epochs,Test Accuracy,Train Accuracy
0,1.95,1.742
1,1.97,3.42
2,2.98,5.1979999999999995
3,2.92,6.757999999999999
4,5.23,9.106
5,7.33,11.49
6,9.09,14.636
7,13.08,18.408
8,11.23,21.694000000000003
9,12.62,24.044
10,17.4,26.77
11,21.19,29.66
12,13.68,31.83
13,23.05,34.184
14,27.55,36.528
15,23.3,38.885999999999996
16,30.47,40.532
17,31.61,42.278
18,32.5,44.148
19,31.48,45.998000000000005
20,31.15,47.8
21,31.12,49.452
22,37.66,50.861999999999995
23,39.02,52.102
24,40.63,54.053999999999995
25,40.32,55.34
26,43.01,56.368
27,38.9,57.74
28,43.69,58.878
29,43.89,60.07
30,44.02,60.726000000000006
31,46.79,61.83
32,43.49,62.12
33,45.06,63.294
34,47.35,64.314
35,48.12,65.432
36,47.3,65.892
37,42.42,66.794
38,45.27,67.646
39,47.39,68.238
40,45.95,68.55
41,46.9,69.72800000000001
42,47.11,70.098
43,48.37,70.7
44,46.05,71.158
45,49.54,71.97800000000001
46,48.38,72.28
47,50.4,72.992
48,49.2,73.432
49,52.25,73.934
50,51.77,78.722
51,53.38,80.2
52,53.37,80.98
53,53.24,81.3
54,53.34,81.666
55,53.96,81.892
56,53.64,81.956
57,53.42,82.412
58,53.79,82.52600000000001
59,54.09,82.936
60,53.73,83.118
61,53.99,83.146
62,54.25,83.52799999999999
63,53.84,83.61
64,53.71,83.634
65,53.55,84.176
66,53.25,83.868
67,54.27,83.95200000000001
68,52.9,84.226
69,53.23,84.396
70,53.8,84.34200000000001
71,53.8,84.65
72,53.97,84.57600000000001
73,53.54,84.834
74,53.61,84.764
75,54.15,84.846
76,54.24,85.25399999999999
77,53.61,85.024
78,53.74,85.31200000000001
79,53.78,85.57600000000001
80,54.01,85.604
81,53.6,85.736
82,53.99,85.588
83,54.03,86.088
84,54.14,86.132
85,54.18,86.234
86,53.92,86.24799999999999
87,53.85,86.08
88,53.31,86.258
89,53.3,86.428
90,54.09,86.75
91,53.69,86.57
92,53.97,86.62799999999999
93,53.56,86.662
94,53.68,87.14200000000001
95,54.03,87.07799999999999
96,54.14,87.24799999999999
97,53.94,87.322
98,53.8,87.24
99,53.98,87.444
100,54.08,87.52799999999999
101,54.16,87.762
102,53.91,87.82
103,54.22,87.822
104,54.25,87.79
105,54.07,88.022
106,53.59,87.89399999999999
107,53.75,88.07799999999999
108,54.43,87.902
109,54.29,88.086
110,53.88,88.102
111,54.73,88.176
112,54.99,87.948
113,53.99,88.088
114,54.47,88.042
115,53.94,88.242
116,53.78,88.22200000000001
117,53.98,88.10600000000001
118,54.58,88.38
119,54.65,87.958
120,53.88,88.21
121,53.93,88.31
122,54.44,88.182
123,53.49,88.398
124,54.1,88.634
125,54.65,88.262
126,55.06,88.27799999999999
127,53.49,88.31
128,54.39,88.536
129,53.77,88.32600000000001
130,54.14,88.71600000000001
131,54.01,88.50399999999999
132,54.41,88.56200000000001
133,53.96,88.564
134,54.41,88.436
135,54.34,88.426
136,54.16,88.29
137,53.98,88.666
138,53.86,88.594
139,54.67,88.654
140,54.51,88.52600000000001
141,54.32,88.376
142,53.94,88.632
143,54.48,88.65
144,54.11,88.32
145,53.96,88.72
146,54.43,88.6
147,54.5,88.63799999999999
148,54.56,88.75399999999999
149,54.26,88.564
150,54.62,88.49799999999999
151,53.78,88.706
152,54.01,88.728
153,54.28,88.686
154,54.09,88.574
155,54.38,88.86
156,53.56,88.57799999999999
157,53.7,88.53200000000001
158,54.64,88.416
159,54.37,88.744
160,54.85,88.64200000000001
161,54.28,88.712
162,54.27,88.822
163,54.37,88.78399999999999
164,54.41,88.76799999999999
165,54.53,88.654
166,54.23,88.648
167,53.92,88.47200000000001
168,53.75,88.736
169,54.45,88.69200000000001
170,54.35,88.73200000000001
171,54.34,88.624
172,54.35,88.77600000000001
173,53.98,88.51799999999999
174,54.56,88.734
175,53.99,88.62
176,54.44,88.59200000000001
177,54.38,88.64200000000001
178,53.99,88.804
179,54.17,88.572
180,53.98,88.802
181,54.46,88.574
182,54.73,88.676
183,54.52,88.7
184,54.31,88.766
185,54.68,88.88
186,53.82,88.508
187,54.58,88.696
188,53.88,88.556
189,54.68,88.684
190,54.45,88.60799999999999
191,54.03,88.90799999999999
192,54.56,88.83200000000001
193,53.99,88.77
194,54.19,88.84200000000001
195,54.77,88.792
196,54.17,88.83
197,54.13,88.542
198,54.68,88.56200000000001
199,54.55,88.604
