Epochs,Test Accuracy,Train Accuracy,ProbAct Sigma Value
0,13.8625,11.78,0.0016850283136591315
1,10.0,11.84,-0.025967048481106758
2,10.525,12.86,-0.02708435244858265
3,10.6375,13.4,0.018536452203989032
4,10.675,16.16,-0.031597789376974106
5,13.6125,18.42,0.021719370037317283
6,17.025,20.56,-0.014185701496899128
7,19.9625,24.1,-0.006506423465907575
8,22.65,24.04,-0.007492905016988516
9,23.675,25.28,-0.006627906579524279
10,22.1125,25.8,-0.01639707013964653
11,25.7375,28.82,0.0009445146424695847
12,31.075,30.6,0.0030459293629974127
13,33.2125,33.8,-0.021958637982606888
14,31.5,36.24,0.07228770107030869
15,36.9125,37.8,-0.012487939558923244
16,33.375,39.04,-0.007824038155376911
17,38.5125,39.84,0.004645181354135275
18,35.475,43.76,-0.035930946469306946
19,35.6875,46.04,-0.007137952372431755
20,39.0375,48.04,0.018366063013672832
21,35.45,49.86,-0.01585489884018898
22,43.325,51.14,-0.02012480422854424
23,41.4,54.86,0.014444850385189056
24,33.45,56.4,-0.03620600327849388
25,44.45,57.44,0.0074056521989405155
26,45.675,61.28,0.008422198705375195
27,49.9375,62.1,-0.003976969514042139
28,49.5375,64.32,-0.001953779486939311
29,48.225,67.28,0.008418998681008816
30,46.1,70.84,-0.008028940297663212
31,52.4125,70.76,0.013608857057988644
32,48.275,73.92,0.00600888067856431
33,51.1875,74.5,-0.022785687819123268
34,47.4625,78.86,-0.0011306359665468335
35,47.6375,79.7,-0.012226204387843607
36,50.2625,81.86,0.009063467383384705
37,52.325,81.46,0.004138892516493797
38,55.6125,83.42,-0.013898269273340702
39,52.75,85.16,0.022095127031207085
40,56.2625,87.32,0.0030705181416124105
41,56.8,90.2,-0.013341685757040976
42,50.325,89.0,0.01440373342484236
43,55.4375,90.7,-0.007234173361212016
44,58.3375,93.3,0.0265475083142519
45,52.525,92.84,0.021867338567972183
46,56.1125,91.72,0.014064161106944084
47,57.7375,91.92,0.017718104645609856
48,56.7125,95.06,-0.0260575283318758
49,56.8625,94.78,0.0005240672035142778
50,61.3875,97.7,-0.002800274407491088
51,61.3375,99.44,-0.002065001055598259
52,61.525,99.64,0.00040920465835370123
53,60.975,99.74,0.00030048476764932275
54,61.8375,99.92,3.669400030048564e-05
55,62.025,99.9,-0.00012033023813273758
56,61.55,99.92,6.132030830485746e-05
57,61.425,99.82,-0.0013000706676393747
58,60.3625,99.86,0.0013235245132818818
59,60.8375,99.88,-0.0018754652701318266
60,61.9125,99.9,-0.0017366273095831275
61,61.1625,99.84,0.00039297118200920517
62,60.4375,99.66,0.006161008030176164
63,61.325,99.84,0.004125562962144613
64,62.0125,99.94,0.0019604794215410948
65,61.3125,99.88,7.857967284508051e-05
66,59.75,99.7,-0.0017701257020235062
67,60.6125,99.68,-0.005787423811852932
68,61.0,99.74,-0.0034043181221932173
69,61.175,99.86,-0.0018291168380528688
70,61.075,99.9,0.0003211553557775915
71,60.7125,99.88,-0.0012552642729133368
72,61.675,99.92,-0.0012232930166646838
73,60.7375,99.74,-0.0030946352053433657
74,60.9,99.8,-0.0016094752354547381
75,60.7875,99.86,0.0007006899686530232
76,60.9875,99.84,0.003584718331694603
77,61.325,99.94,0.0015911840600892901
78,61.275,99.86,0.0012228221166878939
79,60.85,99.74,7.810742681613192e-05
80,61.05,99.82,-9.483667781751137e-06
81,60.5375,99.82,0.0015276728663593528
82,61.15,99.88,0.0012351886834949255
83,60.6125,99.82,0.00026585778687149286
84,61.3125,99.86,0.004541851580142975
85,61.15,99.86,0.006316465325653553
86,60.85,99.9,0.00650806399062276
87,61.325,99.92,0.010249092243611813
88,61.4625,99.9,0.011721071787178516
89,61.5625,99.96,0.010916062630712986
90,61.7,99.98,0.010787626728415491
91,61.6125,99.98,0.012236488051712513
92,61.725,100.0,0.012536433525383472
93,61.7625,99.98,0.011050737462937832
94,61.5,99.96,0.009799644351005554
95,61.2625,99.9,0.010154266841709614
96,60.775,99.74,0.009623108431696892
97,62.2875,99.66,0.0107673741877079
98,60.6625,99.8,0.00835147500038147
99,61.0375,99.84,0.004875125363469124
100,61.5125,99.96,0.004370731301605701
101,61.45,99.96,0.004332978744059801
102,61.575,99.98,0.003826127387583256
103,61.4625,99.98,0.003298526164144277
104,61.325,99.96,0.0025547880213707685
105,61.55,99.98,0.002340199425816536
106,61.5125,99.98,0.0019346059998497367
107,61.4625,100.0,0.0014802751829847693
108,61.9125,100.0,0.0013178641675040126
109,61.95,99.98,0.0007966863922774793
110,61.7625,100.0,0.0004818252054974437
111,61.7625,100.0,0.00011854288459289819
112,61.875,99.98,3.5207553992222533e-06
113,61.9,99.98,-4.817617082153447e-05
114,61.8375,100.0,-7.91642287367722e-06
115,61.6875,100.0,-2.6365262328909007e-06
116,61.7,100.0,4.5635759306605905e-05
117,61.875,100.0,4.036437894683331e-05
118,61.8375,100.0,-1.56691294250777e-05
119,61.875,100.0,-1.0482021025381982e-05
120,61.9125,100.0,-1.211832477565622e-05
121,61.775,100.0,-1.9270042685093358e-05
122,61.9375,100.0,-3.855164322885685e-06
123,61.725,100.0,1.3622160395243554e-06
124,61.775,100.0,-3.384623596502934e-06
125,61.8875,100.0,4.888210605713539e-05
126,61.85,100.0,-0.00011693619308061896
127,61.85,100.0,1.0372668839409016e-05
128,61.9875,100.0,0.00032514444319531316
129,61.95,100.0,0.00014881575771141797
130,61.8375,100.0,5.460773536469787e-05
131,61.75,99.98,0.00020876294001936915
132,61.95,100.0,0.0005410579615272582
133,61.8875,100.0,0.00032136248773895204
134,62.0375,100.0,-1.4159376405586954e-05
135,62.0375,100.0,6.698408105876298e-05
136,62.0,100.0,2.070575465040747e-05
137,62.0125,100.0,3.7723175410064864e-06
138,61.9875,100.0,5.36312691110652e-05
139,62.075,100.0,2.8753318474628028e-05
140,61.875,100.0,3.718231528182514e-05
141,61.8625,100.0,-2.4021392164286226e-05
142,61.9375,100.0,3.6071196518605575e-05
143,62.0375,100.0,1.3511231372831391e-05
144,61.775,100.0,4.355825512902811e-05
145,61.8125,100.0,-1.7968948668567464e-05
146,62.0,100.0,-6.799624316045083e-06
147,61.9125,100.0,-5.8052505664818455e-06
148,61.875,100.0,-1.2065863302268555e-05
149,62.0125,100.0,-9.771720215212554e-05
150,62.0875,100.0,3.511666727717966e-05
151,61.95,100.0,4.239864574628882e-05
152,62.0,100.0,2.4520813894923776e-06
153,61.95,100.0,4.459605861484306e-06
154,61.9125,100.0,-8.764830567997706e-07
155,61.975,100.0,-2.2713693397236057e-05
156,61.875,100.0,3.4803092603397086e-06
157,62.125,100.0,-6.245973622753809e-07
158,61.725,100.0,-4.321960659581237e-06
159,61.9,100.0,3.3716080451995367e-06
160,61.9,100.0,1.2288701327634046e-05
161,61.925,100.0,-4.667252142098732e-06
162,61.9625,100.0,-3.4521758607297675e-07
163,61.9375,100.0,6.1927416936669025e-06
164,62.025,100.0,1.722773777146358e-05
165,61.8875,100.0,-7.586729225295129e-06
166,61.9875,100.0,-1.5550411944786904e-06
167,61.95,100.0,7.630013101334043e-07
168,61.925,100.0,5.4512365750269964e-06
169,61.9,100.0,3.6233245737093966e-07
170,61.9625,100.0,2.0010818388982443e-06
171,61.825,100.0,3.1214531190926213e-06
172,61.9625,100.0,1.2626273019122893e-05
173,61.9125,100.0,0.00010780758020700887
174,61.8125,100.0,6.0516380472108715e-05
175,62.0,100.0,4.867147436016239e-05
176,61.9625,100.0,2.9310052923392504e-05
177,62.0125,100.0,2.1971916339680315e-06
178,61.95,100.0,-6.096142442402197e-06
179,62.0875,100.0,-8.212127795559354e-06
180,62.125,100.0,1.1694288332364522e-05
181,62.075,100.0,-4.24685549660353e-06
182,62.0875,100.0,1.4985812413215172e-06
183,62.0875,100.0,-2.3238526409841143e-06
184,61.95,100.0,-2.242717982881004e-06
185,62.1375,100.0,1.2959786772626105e-06
186,61.9625,100.0,2.5782886950764805e-05
187,61.95,100.0,4.5713527470070395e-06
188,62.1375,100.0,3.5104296784993494e-06
189,61.95,100.0,6.296202741395972e-07
190,61.9125,100.0,3.6315723264124236e-06
191,62.075,100.0,2.1202662537689317e-05
192,61.95,100.0,1.3043832041148564e-06
193,61.8625,99.98,-2.023485831159633e-05
194,62.125,100.0,-1.6178179066628218e-05
195,62.2625,100.0,-3.831567937595537e-06
196,62.175,100.0,-3.5840654163621366e-05
197,62.225,100.0,-4.4508797145681456e-05
198,61.9625,100.0,-2.1788930098409764e-05
199,62.0375,100.0,2.415698872937355e-06
